CustomerID,Count,Country,State,City,Zip_Code,Lat_Long,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Reason
0017-DINOC,1,United States,California,Rancho Santa Fe,92091,"32.99356, -117.207121",32.993560791015625,-117.20712280273438,Male,No,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,No,0,54,5435,
0017-IUDMW,1,United States,California,Sunnyvale,94086,"37.378541, -122.020456",37.3785400390625,-122.02045440673828,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,No,0,52,6252,
0018-NYROU,1,United States,California,Antelope,95843,"38.715498, -121.363411",38.71549987792969,-121.36341094970703,Female,No,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,351.5,No,0,57,5536,
0019-EFAEP,1,United States,California,La Mesa,91942,"32.782501, -117.01611",32.782501220703125,-117.01611328125,Female,No,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,No,0,53,5513,
0019-GFNTW,1,United States,California,Los Olivos,93441,"34.70434, -120.02609",34.704341888427734,-120.02609252929688,Female,No,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,No,0,37,5795,
0020-INWCK,1,United States,California,Woodlake,93286,"36.464635, -119.094348",36.46463394165039,-119.09434509277344,Female,No,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,No,0,26,4865,
0020-JDNXP,1,United States,California,Point Reyes Station,94956,"38.060264, -122.830646",38.060264587402344,-122.83064270019531,Female,No,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,No,0,37,3607,
0021-IKXGC,1,United States,California,San Marcos,92078,"33.119028, -117.166036",33.11902618408203,-117.1660385131836,Female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,No,0,50,4432,
0022-TCJCI,1,United States,California,Daly City,94015,"37.680844, -122.48131",37.680843353271484,-122.48130798339844,Male,Yes,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,Yes,1,92,2654,Limited range of services
0023-HGHWL,1,United States,California,Morgan Hill,95037,"37.161544, -121.649371",37.16154479980469,-121.64936828613281,Male,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.1,25.1,Yes,1,85,5437,Competitor made better offer
0023-UYUPN,1,United States,California,Ahwahnee,93601,"37.375816, -119.739935",37.375816345214844,-119.73993682861328,Female,Yes,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,No,0,61,4015,
0023-XUOPT,1,United States,California,Carnelian Bay,96140,"39.227434, -120.091806",39.22743225097656,-120.09180450439453,Female,No,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,Yes,1,75,2973,Don't know
0027-KWYKW,1,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869625091552734,-119.49877166748047,Female,No,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,1849.95,No,0,78,3585,
0030-FNXPP,1,United States,California,Keeler,93530,"36.560498, -117.962461",36.56049728393555,-117.96246337890625,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,No,0,59,5634,
0031-PVLZI,1,United States,California,Korbel,95550,"40.7666, -123.80458",40.7666015625,-123.80458068847656,Female,No,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,76.35,Yes,1,81,4133,Competitor had better devices
0032-PGELS,1,United States,California,Palomar Mountain,92060,"33.309852, -116.823091",33.309852600097656,-116.82308959960938,Female,No,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,Yes,1,74,5171,Attitude of service provider
0036-IHMOT,1,United States,California,Parlier,93648,"36.622237, -119.521126",36.62223815917969,-119.52112579345703,Female,No,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,No,0,65,5892,
0040-HALCW,1,United States,California,Modesto,95358,"37.612612, -121.108568",37.612613677978516,-121.10856628417969,Male,No,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,No,0,60,6393,
0042-JVWOJ,1,United States,California,Glen Ellen,95442,"38.368744, -122.522642",38.368743896484375,-122.52264404296875,Male,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.6,471.85,No,0,26,3722,
0042-RLHYP,1,United States,California,Eureka,95503,"40.737431, -124.108897",40.737430572509766,-124.10889434814453,Female,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,No,0,76,4131,
0048-LUMLS,1,United States,California,Moss Beach,94038,"37.515556, -122.502311",37.51555633544922,-122.50231170654297,Male,No,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,No,0,55,5263,
0048-PIHNL,1,United States,California,Los Angeles,90058,"34.001617, -118.222274",34.001617431640625,-118.22227478027344,Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,No,0,20,6061,
0052-DCKON,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.04426956176758,-118.18523406982422,Male,No,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,No,0,42,5845,
0052-YNYOT,1,United States,California,Calexico,92231,"32.690654, -115.431225",32.69065475463867,-115.43122863769531,Female,No,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,No,0,72,5462,
0056-EPFBG,1,United States,California,Redding,96003,"40.677649, -122.29467",40.677650451660156,-122.29467010498047,Male,No,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4,825.4,No,0,29,3899,
0057-QBUQH,1,United States,California,San Martin,95046,"37.084697, -121.606417",37.08469772338867,-121.60641479492188,Female,No,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,No,0,59,4797,
0058-EVZWM,1,United States,California,Stockton,95209,"38.044523, -121.348048",38.04452133178711,-121.3480453491211,Female,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,No,0,42,5875,
0060-FUALY,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.96413040161133,-118.27278137207031,Female,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.75,5597.65,No,0,26,5238,
0064-SUDOG,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.978031158447266,-118.2171401977539,Female,No,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,No,0,57,5190,
0064-YIJGF,1,United States,California,Yermo,92398,"35.013299, -116.834092",35.01329803466797,-116.83409118652344,Male,No,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,No,0,46,4994,
0067-DKWBL,1,United States,California,Tipton,93272,"36.047414, -119.344304",36.04741287231445,-119.34430694580078,Male,Yes,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,Yes,1,89,3475,Competitor had better devices
0068-FIGTF,1,United States,California,Fremont,94539,"37.516791, -121.899117",37.51679229736328,-121.89911651611328,Female,No,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2,2078.95,No,0,54,2297,
0071-NDAFP,1,United States,California,Santa Rosa,95405,"38.439696, -122.668817",38.439697265625,-122.66881561279297,Male,No,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.5,630.6,No,0,65,5230,
0074-HDKDG,1,United States,California,San Jose,95126,"37.327069, -121.916819",37.32706832885742,-121.91681671142578,Male,No,Yes,No,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,No,0,66,3807,
0076-LVEPS,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296573638916016,-118.24484252929688,Male,No,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,45.0,1242.45,No,0,73,3290,
0078-XZMHT,1,United States,California,Visalia,93291,"36.391777, -119.372842",36.39177703857422,-119.37284088134766,Male,No,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,No,0,76,6322,
0080-EMYVY,1,United States,California,Lodi,95240,"38.123544, -121.159078",38.12354278564453,-121.1590805053711,Female,No,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,No,0,57,4298,
0080-OROZO,1,United States,California,El Portal,95318,"37.654551, -119.822984",37.6545524597168,-119.82298278808594,Female,No,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,No,0,36,3244,
0082-LDZUE,1,United States,California,Calistoga,94515,"38.629618, -122.593216",38.62961959838867,-122.59321594238281,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.3,44.3,No,0,57,4427,
0082-OQIQY,1,United States,California,Farmington,95230,"37.956963, -120.863055",37.95696258544922,-120.86305236816406,Male,No,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,2607.6,No,0,60,4561,
0083-PIVIK,1,United States,California,Tulelake,96134,"41.813521, -121.492666",41.81352233886719,-121.49266815185547,Male,No,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,5567.55,No,0,67,4761,
0089-IIQKO,1,United States,California,Coleville,96107,"38.42528, -119.475741",38.4252815246582,-119.47573852539062,Female,No,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,No,0,43,4447,
0093-EXYQL,1,United States,California,Ojai,93023,"34.581308, -118.931948",34.58130645751953,-118.93194580078125,Female,Yes,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,No,0,59,5742,
0093-XWZFY,1,United States,California,Desert Hot Springs,92241,"33.832799, -116.250973",33.83279800415039,-116.2509765625,Male,No,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Yes,1,93,2832,Competitor had better devices
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.20729446411133,-118.4000244140625,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction
0096-BXERS,1,United States,California,Inverness,94937,"38.099323, -122.945723",38.09932327270508,-122.94572448730469,Female,No,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,No,0,74,3442,
0096-FCPUF,1,United States,California,Santa Rosa,95404,"38.526941, -122.709096",38.526939392089844,-122.70909881591797,Male,No,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5,1888.45,No,0,48,5039,
0098-BOWSO,1,United States,California,San Jose,95131,"37.387027, -121.897775",37.387027740478516,-121.89777374267578,Male,No,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.4,529.8,No,0,39,3792,
0100-DUVFC,1,United States,California,Wilmington,90744,"33.782068, -118.262263",33.782066345214844,-118.26226043701172,Male,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8,7308.95,No,0,57,5291,
0103-CSITQ,1,United States,California,Modesto,95357,"37.670526, -120.877572",37.67052459716797,-120.87757110595703,Female,No,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,No,0,65,6026,
0104-PPXDV,1,United States,California,San Diego,92113,"32.697098, -117.116587",32.69709777832031,-117.11658477783203,Male,No,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,No,0,30,5232,
0106-GHRQR,1,United States,California,Rancho Palos Verdes,90275,"33.753146, -118.367459",33.75314712524414,-118.36746215820312,Male,No,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,No,0,39,3360,
0106-UGRDO,1,United States,California,Kenwood,95452,"38.419525, -122.521585",38.419525146484375,-122.5215835571289,Female,No,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0,8182.85,No,0,37,4216,
0107-WESLM,1,United States,California,West Point,95255,"38.41935, -120.469545",38.419349670410156,-120.46954345703125,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.85,19.85,Yes,1,66,3874,Attitude of support person
0107-YHINA,1,United States,California,Los Angeles,90062,"34.003553, -118.308933",34.0035514831543,-118.30892944335938,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,Yes,1,93,4214,Attitude of support person
0111-KLBQG,1,United States,California,Morongo Valley,92256,"34.097863, -116.594561",34.097862243652344,-116.59455871582031,Male,Yes,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45,No,0,62,2844,
0112-QAWRZ,1,United States,California,Palo Verde,92266,"33.3249, -114.758334",33.32490158081055,-114.75833129882812,Male,No,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,No,0,66,5560,
0112-QWPNC,1,United States,California,Valyermo,93563,"34.39583, -117.734568",34.39582824707031,-117.73456573486328,Male,No,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,4059.35,Yes,1,73,6452,Competitor offered higher download speeds
0114-IGABW,1,United States,California,Cambria,93428,"35.591387, -121.032256",35.59138870239258,-121.03225708007812,Female,No,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,No,0,76,5224,
0114-PEGZZ,1,United States,California,Round Mountain,96084,"40.923558, -122.059933",40.92355728149414,-122.0599365234375,Female,No,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.55,3645.5,No,0,33,4800,
0114-RSRRW,1,United States,California,Klamath,95548,"41.572813, -124.035011",41.572811126708984,-124.0350112915039,Female,No,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,No,0,54,3831,
0115-TFERT,1,United States,California,Fresno,93650,"36.841655, -119.797113",36.84165573120117,-119.79711151123047,Male,No,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes,1,89,4123,Attitude of service provider
0117-LFRMW,1,United States,California,Angwin,94508,"38.542448, -122.419923",38.54244613647461,-122.419921875,Male,No,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,Yes,1,80,3627,Competitor offered more data
0118-JPNOY,1,United States,California,Le Grand,95333,"37.249377, -120.249581",37.2493782043457,-120.24958038330078,Female,Yes,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,No,0,46,5700,
0121-SNYRK,1,United States,California,Redway,95560,"40.142256, -123.852927",40.14225769042969,-123.8529281616211,Male,No,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,35.4,1748.9,No,0,36,5052,
0122-OAHPZ,1,United States,California,Oceanside,92057,"33.254497, -117.285879",33.25449752807617,-117.28588104248047,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,1,67,2473,Price too high
0123-CRBRT,1,United States,California,Monterey Park,91755,"34.049172, -118.115022",34.049171447753906,-118.11502075195312,Female,No,Yes,No,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,5526.75,No,0,40,5152,
0125-LZQXK,1,United States,California,Big Oak Flat,95305,"37.818589, -120.256995",37.81858825683594,-120.25699615478516,Male,No,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1553.95,Yes,1,99,3025,Attitude of service provider
0128-MKWSG,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.36415481567383,-118.61558532714844,Female,No,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,45.8,1147.0,No,0,45,3287,
0129-KPTWJ,1,United States,California,North Highlands,95660,"38.671295, -121.388251",38.671295166015625,-121.38825225830078,Male,No,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,6747.35,No,0,20,5943,
0129-QMPDR,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.03898239135742,-117.99137115478516,Male,No,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.5,865.05,No,0,59,3093,
0130-SXOUN,1,United States,California,Glenhaven,95443,"39.045246, -122.743181",39.04524612426758,-122.74317932128906,Male,No,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,5976.9,No,0,49,4889,
0133-BMFZO,1,United States,California,Alhambra,91803,"34.074736, -118.145959",34.074737548828125,-118.14595794677734,Female,No,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.25,181.65,Yes,1,94,3529,Competitor offered higher download speeds
0134-XWXCE,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.03152847290039,-118.49115753173828,Female,Yes,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,No,0,71,3253,
0135-NMXAP,1,United States,California,Lodi,95240,"38.123544, -121.159078",38.12354278564453,-121.1590805053711,Female,No,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Yes,1,97,5671,Attitude of support person
0136-IFMYD,1,United States,California,Los Angeles,90001,"33.973616, -118.24902",33.97361755371094,-118.2490234375,Male,Yes,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95,7634.25,No,0,63,4297,
0137-OCGAB,1,United States,California,Fairfield,94533,"38.287136, -122.02711",38.28713607788086,-122.02710723876953,Female,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.2,80.2,Yes,1,90,3056,Lack of affordable download/upload speed
0137-UDEUO,1,United States,California,Stockton,95204,"37.974498, -121.319568",37.9744987487793,-121.31956481933594,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,63.75,Yes,1,95,3398,Extra data charges
0139-IVFJG,1,United States,California,Inyokern,93527,"36.041315, -118.188235",36.04131317138672,-118.188232421875,Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,No,0,29,5361,
0141-YEAYS,1,United States,California,Lone Pine,93545,"36.590415, -118.073839",36.590415954589844,-118.07383728027344,Female,Yes,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,No,0,77,5990,
0142-GVYSN,1,United States,California,Randsburg,93554,"35.405722, -117.773354",35.405723571777344,-117.77335357666016,Male,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.3,511.25,No,0,68,5712,
0147-ESWWR,1,United States,California,Atascadero,93422,"35.453912, -120.69461",35.45391082763672,-120.69461059570312,Female,Yes,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,3949.15,No,0,77,3172,
0148-DCDOS,1,United States,California,Planada,95365,"37.329725, -120.306399",37.3297233581543,-120.306396484375,Male,No,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,Yes,1,82,5641,Price too high
0151-ONTOV,1,United States,California,Moorpark,93021,"34.312945, -118.858169",34.31294631958008,-118.85816955566406,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,Yes,1,78,4739,Attitude of support person
0156-FVPTA,1,United States,California,Solvang,93463,"34.624399, -120.137875",34.62439727783203,-120.13787841796875,Male,No,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.2,1152.7,Yes,1,87,5102,Attitude of service provider
0164-APGRB,1,United States,California,Calistoga,94515,"38.629618, -122.593216",38.62961959838867,-122.59321594238281,Female,No,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,8496.7,No,0,69,4589,
0164-XAIRP,1,United States,California,La Mirada,90638,"33.902045, -118.008961",33.90204620361328,-118.00896453857422,Female,No,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.55,470.2,No,0,34,2511,
0168-XZKBB,1,United States,California,Boron,93516,"34.95703, -117.73045",34.95703125,-117.73045349121094,Female,No,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,1564.4,No,0,64,5072,
0174-QRVVY,1,United States,California,San Marcos,92078,"33.119028, -117.166036",33.11902618408203,-117.1660385131836,Male,No,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.35,1847.55,No,0,68,5747,
